instance_name,problem_type,bool_capacity,filepath,num_customers,num_routes,fitness
C2_2_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_8.txt,200,16,4512.852968793338
C2_2_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_9.txt,200,17,4389.719078460904
C2_4_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_1.txt,400,56,13906.80376449481
C2_4_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_10.txt,400,23,7642.165192038521
C2_4_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_2.txt,400,50,13589.603268633642
C2_4_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_3.txt,400,44,10989.661138722751
C2_4_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_4.txt,400,34,8929.42420925323
C2_4_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_5.txt,400,36,10491.087236238362
C2_4_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_6.txt,400,31,9752.269001931907
C2_4_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_7.txt,400,32,10344.449380984179
C2_4_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_8.txt,400,28,8867.034505525506
C2_4_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_4_9.txt,400,32,9874.700474315585
C2_6_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_1.txt,600,65,29933.730525740095
C2_6_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_10.txt,600,32,17361.9505075847
C2_6_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_2.txt,600,60,25653.498645543266
C2_6_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_3.txt,600,59,24167.653153597385
C2_6_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_4.txt,600,48,17824.605180078426
C2_6_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_5.txt,600,46,22578.86761640845
C2_6_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_6.txt,600,39,21403.721676838955
C2_6_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_7.txt,600,39,21147.354698734063
C2_6_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_8.txt,600,35,18704.377973273116
C2_6_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_6_9.txt,600,38,18911.924955368366
C2_8_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_1.txt,800,86,48573.054340620205
C2_8_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_10.txt,800,39,26140.160869676653
C2_8_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_2.txt,800,82,41159.64221827398
C2_8_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_3.txt,800,81,37381.08816624855
C2_8_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_4.txt,800,62,27327.646629661984
C2_8_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_5.txt,800,58,36148.89887949302
C2_8_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_6.txt,800,52,32759.34561998162
C2_8_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_7.txt,800,53,35364.87101905225
C2_8_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_8.txt,800,44,28591.455784168083
C2_8_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_8_9.txt,800,48,30595.35818436845
R1_10_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_1.txt,1000,205,113822.13089083256
R1_10_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_10.txt,1000,126,78237.60093959037
R1_10_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_2.txt,1000,173,102634.03690025379
R1_10_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_3.txt,1000,137,82409.85272570406
R1_10_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_4.txt,1000,102,64776.99519187005
R1_10_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_5.txt,1000,181,104465.1054143833
R1_10_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_6.txt,1000,152,92315.50821307424
R1_10_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_7.txt,1000,132,79891.76568850204
