row_index,variant_name,functions_count,terminals_count,constants_count,size_total
414,G-VRPTW,6,7,0,13
415,G-VRPTW,16,13,4,33
416,G-VRPTW,7,8,0,15
417,G-VRPTW,7,6,2,15
418,G-VRPTW,8,5,4,17
419,G-VRPTW,7,7,1,15
420,G-VRPTW,4,5,0,9
421,G-VRPTW,7,6,2,15
422,G-VRPTW,11,9,3,23
423,G-VRPTW,5,5,1,11
424,G-VRPTW,5,4,2,11
425,G-VRPTW,9,8,2,19
426,G-VRPTW,3,3,1,7
427,G-VRPTW,14,10,5,29
428,G-VRPTW,8,7,2,17
429,G-VRPTW,4,4,1,9
430,G-VRPTW,4,4,1,9
431,G-VRPTW,5,6,0,11
432,G-VRPTW,5,6,0,11
433,G-VRPTW,7,5,3,15
434,G-VRPTW-MD,6,5,2,13
436,G-VRPTW-MD,8,8,1,17
437,G-VRPTW-MD,7,5,3,15
438,G-VRPTW-MD,6,6,1,13
439,G-VRPTW-MD,10,8,3,21
440,G-VRPTW-MD,11,8,6,25
441,G-VRPTW-MD,7,6,2,15
442,G-VRPTW-MD,5,6,0,11
443,G-VRPTW-MD,6,6,1,13
445,G-VRPTW-MD,5,5,1,11
446,G-VRPTW-MD,7,4,4,15
447,G-VRPTW-MD,3,2,2,7
448,G-VRPTW-MD,7,4,4,15
449,G-VRPTW-MD,8,5,4,17
450,G-VRPTW-MD,12,11,2,25
451,G-VRPTW-MD,7,4,4,15
452,G-VRPTW-MD,7,4,4,15
453,G-VRPTW-MD,6,4,3,13
454,G-VRPTW-MD,7,6,2,15
455,G-VRPTW-MD,19,9,11,39
456,G-VRPTW-MD,6,6,1,13
457,G-VRPTW-MD,3,3,1,7
458,G-VRPTW-MD,7,6,2,15
459,G-VRPTW-MD,9,8,2,19
460,G-VRPTW-MD,5,6,0,11
461,G-VRPTW-MD,11,8,4,23
462,CVRP,3,3,1,7
463,CVRP,3,3,1,7
464,CVRP,3,3,1,7
465,CVRP,2,3,0,5
466,CVRP,3,3,1,7
467,CVRP,3,3,1,7
468,CVRP,4,5,0,9
469,CVRP,3,3,1,7
470,CVRP,6,6,1,13
471,CVRP,7,6,2,15
472,CVRP,3,3,1,7
473,CVRP,3,3,1,7
474,CVRP,3,3,1,7
475,CVRP,6,5,2,13
476,CVRP,3,3,1,7
477,CVRP,3,3,1,7
